item_code,description,unit_price,volume_per_unit,weight_per_unit
13COM100,13mm thick compact laminate worktop 1000mm wide,760.0,0.42,0
13COM120,13mm thick compact laminate worktop 1200mm wide,760.0,0.42,0
13COM150,13mm thick compact laminate worktop 1500mm wide,760.0,0.84,0
13COM60,13mm thick compact laminate worktop 600mm wide,760.0,0.25,0
13COM60BS,13mm thick compact laminate worktop 600mm wide  with back splash,760.0,0.25,0
13COM70,13mm thick compact laminate worktop 700mm wide,760.0,0.42,0
13COM70BS,13mm thick compact laminate worktop 700mm wide with back splash,760.0,0.42,0
13COM75,13mm thick compact laminate worktop 750mm wide,760.0,0.42,0
13COM75BS,13mm thick compact laminate worktop 750mm wide with back splash,760.0,0.42,0
13COM80,13mm thick compact laminate worktop 800mm wide,760.0,0.42,0
13COM80BS,13mm thick compact laminate worktop 800mm wide with back splash,760.0,0.42,0
13COM90,13 mm compact laminate worktop 900 mm wide,760.0,0.42,0
13COM90BS,13 mm compact laminate worktop 900 mm wide withbackplash,760.0,0.42,0
16ATH120,16mm thick  athlon 1200mm wide,751.0,0.34,0
16ATH150,16 mm thick athlon worktop 1500 mm wide,751.0,0.34,0
16ATH60,16mm thick athlon worktop 600mm wide,751.0,0.2,0
16ATH60BS,16mm thick athlon worktop 600mm wide with back splash,751.0,0.2,0
16ATH75,16mm thick athlon worktop 750mm wide,751.0,0.2,0
16ATH75BS,16mm thick athlon worktop 750mm wide with back splash,751.0,0.2,0
16ATH90,16mm thick athlon worktop 900mm wide,750.0,0.24,0
16ATH90BS,16mm thick athlon worktop 900mm wide with backsplash,750.0,0.24,0
16COM100,16mm thick compact laminate worktop 1000mm wide,1437.0,0.42,0
16COM120,16mm thick compact laminate worktop 1200 mm wide,1437.0,0.42,0
16COM150,16mm thick compact laminate worktop 1500 mm wide,1437.0,0.84,0
16COM60,16mm thick compact laminate worktop 600 mm wide with back splash,1437.0,0.25,0
16COM75,16mm thick compact laminate worktop 750 mm wide with back splash,1437.0,0.42,0
16TRE100,16mm thick trespa worktop 1000mm wide,3036.0,0.21,0
16TRE120,16mm thick trespa worktop 1200mm wide,1362.0,0.33,0
16TRE130,16mm thick trespa worktop 1300mm wide,1362.0,0.3,0
16TRE150,16mm thick trespa worktop 1500mm wide,1457.0,0.33,0
16TRE60,16 mm thick trespa worktop 600mm wide,1362.0,0.13,0
16TRE60BS,16 mm thick trespa worktop 600mm wide with back splash,1362.0,0.2,0
16TRE70,16mm thick trespa worktop 700mm wide,1362.0,0.15,0
16TRE70BS,16mm thick trespa worktop 700mm wide with back splash,1362.0,0.15,0
16TRE75,16mm thick trespa worktop 750mm wide,1362.0,0.16,0
16TRE75BS,16 mm thick trespa worktop 750mm wide with back splash,1362.0,0.2,0
16TRE80BS,16 mm thick trespa worktop 800mm wide with back splash,3036.0,0.19,0
16TRE90,16 mm thick trespa worktop 900mm wide,3036.0,0.24,0
16TRE90BS,16 mm thick trespa worktop 900mm wide with back splash,3036.0,0.24,0
16TRECOR60,16mm thick trespa corner worktop,1362.0,0.5,0
16TRECOR60BS,16mm thick trespa corner worktop with back splash,1362.0,0.5,0
16TRECOR75,16mm thick trespa corner worktop,1362.0,0.5,0
16TRECOR75BS,16mm thick trespa corner worktop with back splash,1362.0,0.5,0
16TRECOR90,16mm thick trespa corner worktop,1362.0,0.5,0
16TRECOR90BS,16mm thick trespa corner worktop with back splash,1362.0,0.5,0
16TREHEX150-130,16 mm thick  trespa hexagonal worktop 1500 mm wide,1457.0,0.5,0
16TREOCT-180,16 mm thick  trespa octagonal worktop 1800 mm wide,3036.0,0.75,0
16TREOCT150-150,16 mm thick  trespa octagonal worktop 1500 mm wide,1457.0,0.5,0
18GRT100,18 (±1)mm thick granite worktop 1000 mm wide with plybacking,1363.0,13.12,0
18grt120,18mm thick granite worktop 1200mm wide with plybacking,199.0,0.05,0.0
18GRT150,18 (±1)mm thick granite worktop 1500 mm wide and plybacking,1363.0,16.4,0
18GRT60,18 (±1)mm thick granite worktop 600 mm wide with plybacking,1363.0,6.56,0
18GRT60BS,18 (±1)mm thick granite worktop 600 mm wide with backsplash & plybacking,1363.0,7.64,0
18GRT75,18 (±1)mm thick granite worktop 750mm wide with plybacking,1363.0,8.2,0
18GRT75BS,18 (±1)mm thick granite worktop 750 mm wide with backsplash &plybacking,1363.0,9.28,0
18GRT90,18 (±1)mm thick granite worktop 900 mm wide with plybacking,1363.0,9.84,0
18grt90bs,18mm thick granite worktop 900mm wide with backsplash and plybacking,162.0,0.04,0.0
18MEL100,18mm thick melamine laminated plywood worktop 1000mm wide,752.0,0.42,0
18MEL120,18mm thick melamine laminated plywood worktop 1200mm wide,752.0,0.42,0
18MEL150,18mm thick melamine laminated plywood worktop 1500mm wide,752.0,0.83,0
18MEL40BS,18mm thick melamine laminated plywood  worktop 400mm wide with back splash,752.0,0.25,0
18MEL45,18mm thick melamine laminated plywood  worktop 450mm wide,752.0,0.25,0
18MEL45BS,18mm thick melamine laminated plywood  worktop 450mm wide  with back splash,752.0,0.25,0
18MEL60,18mm thick melamine laminated plywood  worktop 600mm wide,752.0,0.25,0
18MEL60BS,18mm thick melamine laminated plywood  worktop 600mm wide with back splash,752.0,0.25,0
18MEL70,18mm thick melamine laminated plywood worktop 700mm wide,752.0,0.42,0
18MEL70BS,18mm thick melamine laminated plywood worktop 700mm wide with back splash,752.0,0.42,0
18MEL75,18mm thick melamine laminated plywood worktop 750mm wide,752.0,0.42,0
18MEL75BS,18mm thick melamine laminated plywood worktop 750mm wide with back splash,752.0,0.42,0
18MEL80,18mm thick melamine laminated plywood worktop 800mm wide,752.0,0.42,0
18MEL80BS,18mm thick melamine laminated plywood worktop 800mm wide with back splash,752.0,0.42,0
18MEL90,18mm thick melamine laminated plywood worktop 900mm wide,752.0,0.42,0
18MEL90BS,18mm thick melamine laminated plywood worktop 900mm wide with back splash,752.0,0.42,0
18MELCOR60,18mm thick melamine corner worktop,1362.0,0.5,0
18MELCOR60BS,18mm thick melamine corner worktop with back splash,1362.0,0.5,0
18MELCOR75,18mm thick melamine corner worktop,1362.0,0.5,0
18MELCOR75BS,18mm thick melamine corner worktop with back splash,1362.0,0.5,0
18MELCOR90,18mm thick melamine corner worktop,1362.0,0.5,0
18MELCOR90BS,18mm thick melamine corner worktop with back splash,1362.0,0.5,0
19EPX120,19 mm thick epoxy worktop 1200 mm wide(Black colour),1361.0,0.4,0
19EPX150,19mm thick epoxy worktop 1500mm wide(Black colour),1361.0,0.5,0
19EPX60,19mm thick epoxy worktop 600mm wide(Black colour),3066.0,0.2,0
19EPX60BS,19mm thick epoxy worktop 600mm wide with back splash(Black colour),3066.0,0.2,0
19EPX75,19mm thick epoxyworktop 750mm wide(Black colour),1361.0,0.25,0
19EPX75BS,19mm thick epoxyworktop 750mm wide with back splash(Black colour),1361.0,0.25,0
19EPX90,19mm thick epoxy worktop 900 mm wide(Black colour),3066.0,0.25,0
19EPX90BS,19mm thick epoxy worktop 900 mm wide with back splash(Black colour),3066.0,0.25,0
19EPXCOR60,19mm thick epoxy corner worktop(Black colour),1361.0,0.5,0
19EPXCOR75,19mm thick epoxy corner worktop(Black colour),1361.0,0.6,0
19EPXCOR90,19mm thick epoxy corner worktop(Black colour),3066.0,0.7,0
19EPXOCT150-150,19 mm thick epoxy octagonal worktop 1500 mm wide(Black colour),1361.0,0.5,0
20GRT80,20 (±1)mm thick granite worktop 800mm wide with backsplash,1363.0,8.76,0
24MEL090SP,24mm thick melamine laminated worktop 900mm wide  special,3677.0,0.5,0
24MEL100,24mm thick melamine laminated plywood worktop 1000 mm wide,752.0,0.5,0
